Price,Close,High,Low,Open,Volume
Ticker,TM,TM,TM,TM,TM
Date,,,,,
2016-01-13,111.16799926757812,113.45922866570652,110.73295916546537,113.30454315111717,345800
2016-01-14,112.42479705810547,112.75349272400041,110.4139295553468,111.53537744658928,354100
2016-01-15,108.8574447631836,110.37526143612806,108.17104434429143,110.26891698206472,637000
2016-01-19,111.19700622558594,112.24111137109476,110.08523538400274,112.15410629687484,485500
2016-01-20,107.80367279052734,108.6930923912166,105.3190938212425,108.56741593975337,1000200
2016-01-21,107.40729522705078,108.32572388176445,105.83147525745892,106.69189315582757,285300
2016-01-22,112.0960922241211,112.18310467158013,111.00365341716979,111.28401538549778,595500
2016-01-25,109.6405258178711,110.78129835341699,109.44716891504086,110.56861682402122,248600
2016-01-26,110.54927825927734,110.57827995096237,109.41816802869127,109.53418217124306,267500
2016-01-27,111.4870376586914,113.19820383041798,110.98432446513128,112.14443637384642,320900
2016-01-28,112.26045227050781,112.80183685293252,111.11000265704355,112.80183685293252,313700
2016-01-29,116.04048919677734,116.04048919677734,114.08763240246648,114.80303451018689,746000
2016-02-01,116.398193359375,116.75589072354951,115.19941005968181,116.01148692778669,416700
2016-02-02,115.04471588134766,116.15649402259014,114.56133472218234,116.15649402259014,353400
2016-02-03,111.16799926757812,112.86950304900441,109.62118100074117,112.60848046289902,622600
2016-02-04,110.49127197265625,111.16800268023077,108.98312503816932,111.16800268023077,560900
2016-02-05,106.72089385986328,108.78009498370291,105.37709480063567,108.50940270929897,851100
2016-02-08,105.50277709960938,106.16017582067808,104.38133656120496,106.09250274832446,687700
2016-02-09,103.28888702392578,103.99462679223257,102.07077176065158,102.46714049291373,498800
2016-02-10,103.22122192382812,105.8314849234167,103.09554546258966,105.0097383289546,414100
2016-02-11,101.58738708496094,102.26411776349386,100.70762982705692,101.79040628852081,545900
2016-02-12,101.76141357421875,101.86775802962656,99.13181863288368,99.74087629728231,668300
2016-02-16,104.61334991455078,104.98071694139412,103.87860848505295,104.45867177854718,476700
2016-02-17,104.5360107421875,104.845374400611,104.02362787440588,104.1106403217373,696500
2016-02-18,103.87860870361328,105.32875218877761,103.65625749967569,104.9710548496229,224700
2016-02-19,101.80973815917969,102.3317907001549,101.31669468365689,102.16744287498062,723200
2016-02-22,103.14388275146484,103.3469019702399,102.53481771932793,102.54448740854914,297400
2016-02-23,102.10944366455078,103.12453972249241,102.0224312162635,103.00853295919137,161700
2016-02-24,101.1136703491211,101.72273534835143,99.4315059302891,101.5777195211151,628600
2016-02-25,102.06109619140625,102.08042819213946,100.98798944334243,101.11366588763592,849000
2016-02-26,101.64539337158203,102.55415234515677,101.15234250551367,101.51004723200427,492600
2016-02-29,100.63996124267578,101.78074113431774,100.63996124267578,101.60672361268382,423600
2016-03-01,102.87318420410156,103.10520510061944,101.40370131592856,101.80007741596579,344700
2016-03-02,103.43390655517578,103.73360791311794,102.9795270494866,103.29856040996773,275700
2016-03-03,104.96139526367188,104.96139526367188,104.06230592130039,104.11064699244983,289300
2016-03-04,105.90882110595703,106.62422319805675,105.37709884951101,105.91848341912036,204700
2016-03-07,104.32332611083984,104.94205340924765,103.5112419217976,103.66592743430516,745300
